YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1901,49.200000000000003,87.099999999999994,29.199999999999999,2.2999999999999998,528.79999999999995,517.5,365.10000000000002,481.10000000000002,332.60000000000002,388.5,558.20000000000005,33.600000000000001
1902,0,159.80000000000001,12.199999999999999,0,446.10000000000002,537.10000000000002,228.90000000000001,753.70000000000005,666.20000000000005,197.19999999999999,359,160.5
1903,12.699999999999999,144,0,1,235.09999999999999,479.89999999999998,728.39999999999998,326.69999999999999,339,181.19999999999999,284.39999999999998,225
1904,9.4000000000000004,14.699999999999999,0,202.40000000000001,304.5,495.10000000000002,502,160.09999999999999,820.39999999999998,222.19999999999999,308.69999999999999,40.100000000000001
1905,1.3,0,3.2999999999999998,26.899999999999999,279.5,628.70000000000005,368.69999999999999,330.5,297,260.69999999999999,25.399999999999999,344.69999999999999
1906,36.600000000000001,0,0,0,556.10000000000002,733.29999999999995,247.69999999999999,320.5,164.30000000000001,267.80000000000001,128.90000000000001,79.200000000000003
1907,110.7,0,113.3,21.600000000000001,616.29999999999995,305.19999999999999,443.89999999999998,377.60000000000002,200.40000000000001,264.39999999999998,648.89999999999998,245.59999999999999
1908,20.899999999999999,85.099999999999994,0,29,562,693.60000000000002,481.39999999999998,699.89999999999998,428.80000000000001,170.69999999999999,208.09999999999999,196.90000000000001
1910,26.600000000000001,22.699999999999999,206.30000000000001,89.299999999999997,224.5,472.69999999999999,264.30000000000001,337.39999999999998,626.60000000000002,208.19999999999999,267.30000000000001,153.5
1911,0,8.4000000000000004,0,122.5,327.30000000000001,649,253,187.09999999999999,464.5,333.80000000000001,94.5,247.09999999999999
1912,583.70000000000005,0.80000000000000004,0,21.899999999999999,140.69999999999999,549.79999999999995,468.89999999999998,370.30000000000001,386.19999999999999,318.69999999999999,117.2,2.2999999999999998
1913,84.799999999999997,0.5,1.3,2.5,190.69999999999999,530,280.80000000000001,205.80000000000001,580.10000000000002,288.80000000000001,133,67.5
1914,0,0,0,37.700000000000003,298.80000000000001,383.30000000000001,792.79999999999995,520.5,310.80000000000001,139.80000000000001,184.40000000000001,289.69999999999999
1915,45,56.700000000000003,33.299999999999997,40.899999999999999,170.19999999999999,334.69999999999999,269,317.19999999999999,429.80000000000001,468.10000000000002,258.39999999999998,318
1916,0,0,0,0.5,487.39999999999998,450.10000000000002,317.30000000000001,425,561.20000000000005,369.69999999999999,192.59999999999999,133.69999999999999
1917,8,3.6000000000000001,112,4.5,295.89999999999998,301.10000000000002,394.80000000000001,437.39999999999998,471.80000000000001,238.09999999999999,108.3,236.90000000000001
1918,77.400000000000006,6.9000000000000004,11.4,10.699999999999999,729.29999999999995,710.79999999999995,200.90000000000001,455.39999999999998,303.30000000000001,227,366.89999999999998,175
1919,10.199999999999999,18,0,35.5,283.89999999999998,542.5,246.5,259.80000000000001,170.69999999999999,186.19999999999999,340.39999999999998,258.39999999999998
1920,122.3,7.4000000000000004,3.1000000000000001,13,237.40000000000001,546.89999999999998,294.39999999999998,467.39999999999998,505.39999999999998,397.5,262.89999999999998,85.5
1921,13.199999999999999,3.1000000000000001,0,37.5,351.19999999999999,282.69999999999999,487.10000000000002,330,581.20000000000005,360.69999999999999,118.2,41.5
1922,245.30000000000001,34.299999999999997,15.6,323.10000000000002,289.69999999999999,506.10000000000002,425.80000000000001,307.39999999999998,511.69999999999999,162,541,192.19999999999999
1923,79.5,0,NA,91.299999999999997,293.5,808.39999999999998,636.89999999999998,182.19999999999999,560.5,131.90000000000001,197.40000000000001,70.599999999999994
1924,28.699999999999999,0,14.800000000000001,89.700000000000003,191.19999999999999,261.19999999999999,493.30000000000001,290.89999999999998,251.19999999999999,331.10000000000002,378.60000000000002,NA
1925,36.600000000000001,0,8.5999999999999996,50.399999999999999,282.19999999999999,663.79999999999995,241.80000000000001,278.19999999999999,201.90000000000001,249.5,271.5,196
1926,122.09999999999999,0,0,0.5,198.40000000000001,370,195.30000000000001,523.70000000000005,719.29999999999995,443.80000000000001,148.40000000000001,560.70000000000005
1927,3,17.5,17.800000000000001,108.59999999999999,504.10000000000002,433.30000000000001,195.19999999999999,370.10000000000002,126.2,327.5,274.10000000000002,65.5
1928,50.899999999999999,67.599999999999994,80.700000000000003,129.30000000000001,499.5,410.19999999999999,406.30000000000001,391.5,404.80000000000001,444.5,99.5,13.5
1929,74.200000000000003,118.40000000000001,129.19999999999999,69.799999999999997,316.60000000000002,588.79999999999995,134,644.70000000000005,172.90000000000001,413,251.5,13.5
1930,87.400000000000006,105.40000000000001,131.19999999999999,10.9,231.5,533.60000000000002,317.89999999999998,446.69999999999999,677.20000000000005,82.299999999999997,249.40000000000001,201.59999999999999
1931,25.300000000000001,0,2.5,2.5,205.40000000000001,393.5,289.30000000000001,571,294.39999999999998,368.30000000000001,22.800000000000001,182.69999999999999
1932,2.7999999999999998,2.5,10.1,58.200000000000003,479.69999999999999,NA,NA,NA,NA,NA,NA,NA
1933,4.5,11.699999999999999,8.0999999999999996,58.399999999999999,365.39999999999998,544.20000000000005,376.60000000000002,294.10000000000002,759,239.80000000000001,268.80000000000001,56.899999999999999
1934,7.2999999999999998,172.90000000000001,6.9000000000000004,131.40000000000001,62,708.39999999999998,323.5,924.89999999999998,761.10000000000002,338.10000000000002,240.19999999999999,46.100000000000001
1935,6.5999999999999996,0,0.5,133.59999999999999,726.79999999999995,374.10000000000002,368.69999999999999,411.60000000000002,578.89999999999998,182.40000000000001,275.39999999999998,95.400000000000006
1936,16.5,15.300000000000001,116.5,NA,194.30000000000001,498.30000000000001,664.79999999999995,562.89999999999998,383.80000000000001,174.90000000000001,199.19999999999999,212.19999999999999
1937,21.600000000000001,10.699999999999999,0,112,330.5,732.79999999999995,449.5,332,349.5,383.30000000000001,251.69999999999999,617.5
1938,13.4,57.200000000000003,50.5,101.59999999999999,368.89999999999998,668.60000000000002,318.19999999999999,397.10000000000002,546.70000000000005,318.39999999999998,316.30000000000001,107.5
1939,54.100000000000001,1.5,16.100000000000001,77.299999999999997,480.5,541,335.60000000000002,202.80000000000001,512.5,263.89999999999998,165.90000000000001,131.30000000000001
1940,0.5,2.7999999999999998,59.399999999999999,0,320.69999999999999,335.39999999999998,268.10000000000002,889.20000000000005,477.5,114.09999999999999,221,318.80000000000001
1941,0,12.800000000000001,0,77.799999999999997,251.90000000000001,497,302.5,311.89999999999998,516,382.80000000000001,266,279.5
1942,39.200000000000003,7.4000000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,84.400000000000006,3.6000000000000001,21.100000000000001,135.19999999999999,309.10000000000002,535.89999999999998,189,367.39999999999998,478.30000000000001,276.89999999999998,146.90000000000001,243.80000000000001
1947,25.100000000000001,111.09999999999999,63.200000000000003,127.7,206.30000000000001,965.60000000000002,490,293.69999999999999,NA,376,67.5,168.59999999999999
1949,0,56.399999999999999,0,166.5,405.80000000000001,658.39999999999998,743.29999999999995,404,627.5,339.60000000000002,81.099999999999994,7
1950,0.80000000000000004,0,0,95.5,264.19999999999999,369.89999999999998,366.69999999999999,347.30000000000001,494.5,224.59999999999999,89.299999999999997,169.40000000000001
1951,82.700000000000003,7.2000000000000002,0,45.399999999999999,259,619.89999999999998,665.29999999999995,101.3,360.89999999999998,489,209.59999999999999,434.80000000000001
1952,0,0.80000000000000004,69.700000000000003,39.399999999999999,452.89999999999998,657.70000000000005,385.5,541.29999999999995,240.30000000000001,315.60000000000002,287.5,89.200000000000003
1953,56,65.299999999999997,20.100000000000001,159.40000000000001,241.09999999999999,549.89999999999998,444.39999999999998,262.80000000000001,370.10000000000002,243.59999999999999,246,63.299999999999997
1954,83.799999999999997,2.1000000000000001,34.299999999999997,58,394.69999999999999,539.39999999999998,510.80000000000001,605.39999999999998,763.79999999999995,247.19999999999999,84.799999999999997,124.7
1955,57.299999999999997,28.199999999999999,9.9000000000000004,68.799999999999997,663.60000000000002,651.10000000000002,298.39999999999998,356.89999999999998,341.80000000000001,466.5,362.89999999999998,44.200000000000003
1956,49.200000000000003,77.200000000000003,33.799999999999997,130.30000000000001,491.80000000000001,343.10000000000002,468.39999999999998,467.69999999999999,325.10000000000002,458.69999999999999,164.09999999999999,70.5
1957,28,19.300000000000001,4.5999999999999996,19,142.40000000000001,741.89999999999998,316.19999999999999,421.30000000000001,354.30000000000001,299.69999999999999,88.599999999999994,71.900000000000006
1958,22.899999999999999,14.300000000000001,30.399999999999999,24.600000000000001,355.10000000000002,530.70000000000005,440.69999999999999,388.39999999999998,350.60000000000002,265.19999999999999,313.80000000000001,70.700000000000003
1959,10.1,1.8,31.300000000000001,86.700000000000003,238.09999999999999,455.69999999999999,817.10000000000002,409.30000000000001,589.60000000000002,332.69999999999999,242.5,128.5
1960,104.2,72.400000000000006,12.1,53.5,535.39999999999998,541.5,308.39999999999998,270.69999999999999,442.39999999999998,400,191.69999999999999,92.799999999999997
1961,82.099999999999994,99.400000000000006,33.200000000000003,88.099999999999994,973.10000000000002,383.30000000000001,304.89999999999998,557.10000000000002,612,379.89999999999998,280.60000000000002,144.5
1962,152.40000000000001,14.9,17.300000000000001,46.399999999999999,310.39999999999998,367.69999999999999,409.10000000000002,420.60000000000002,474.5,259.80000000000001,101.7,384.89999999999998
1963,79.900000000000006,26.800000000000001,7.4000000000000004,69.5,259.89999999999998,434.69999999999999,303.30000000000001,601.20000000000005,614.29999999999995,295.5,109.3,179.90000000000001
1964,65.5,21.899999999999999,3.1000000000000001,18.100000000000001,530.60000000000002,465.30000000000001,287.30000000000001,472.10000000000002,521.20000000000005,218.90000000000001,349.19999999999999,101.59999999999999
1965,11.800000000000001,30.399999999999999,25.300000000000001,51,292.30000000000001,408.80000000000001,392.10000000000002,396.60000000000002,576.79999999999995,290.5,187.90000000000001,500.39999999999998
1966,79.799999999999997,4.2000000000000002,12,38.700000000000003,376.89999999999998,148.80000000000001,433.5,335.60000000000002,454.10000000000002,171.90000000000001,333.80000000000001,311.89999999999998
1967,164.59999999999999,21.600000000000001,30,63.399999999999999,516.39999999999998,340.80000000000001,537.79999999999995,614.29999999999995,303.5,427.5,99.700000000000003,97
1968,22.100000000000001,1.3,4.2000000000000002,81.5,297.60000000000002,545.20000000000005,519.29999999999995,242,496.80000000000001,281.60000000000002,152,119.2
1969,106.3,64.700000000000003,14.6,20.800000000000001,317.30000000000001,422.80000000000001,345.19999999999999,281.39999999999998,489.80000000000001,146.80000000000001,343.69999999999999,65.799999999999997
1970,72.200000000000003,34,7.7999999999999998,58.200000000000003,422.69999999999999,407.30000000000001,564.60000000000002,342.89999999999998,423.5,386.60000000000002,418.39999999999998,232.69999999999999
1971,41.5,32.799999999999997,37.700000000000003,35.299999999999997,398,394.60000000000002,421.10000000000002,327.89999999999998,470.19999999999999,505.30000000000001,178.40000000000001,155.90000000000001
1972,13.699999999999999,1.7,7.5,178.30000000000001,420.19999999999999,470,544.60000000000002,384.89999999999998,444.5,263.80000000000001,413.89999999999998,180
1973,18.100000000000001,20.300000000000001,30.5,29.600000000000001,418.60000000000002,488.60000000000002,371.39999999999998,370.30000000000001,357.5,247.19999999999999,349.80000000000001,289.10000000000002
1974,22.199999999999999,43.899999999999999,17.199999999999999,301.39999999999998,353.30000000000001,343.80000000000001,257.10000000000002,456.19999999999999,321.60000000000002,398.39999999999998,372.19999999999999,74.799999999999997
1975,276.89999999999998,27.5,8,24.199999999999999,362.89999999999998,706.29999999999995,173.59999999999999,357.39999999999998,351.80000000000001,373.60000000000002,323.69999999999999,99.700000000000003
1976,20.899999999999999,9.6999999999999993,0.59999999999999998,161.59999999999999,551.39999999999998,441.39999999999998,382.10000000000002,487.69999999999999,387,166.80000000000001,307.19999999999999,359.60000000000002
1977,79.700000000000003,43.200000000000003,6.0999999999999996,6.9000000000000004,275.30000000000001,339.30000000000001,341.10000000000002,345.5,467.10000000000002,263.60000000000002,153.30000000000001,67.099999999999994
1978,109.59999999999999,29.300000000000001,18.899999999999999,63.399999999999999,343.60000000000002,462.19999999999999,656.60000000000002,346.30000000000001,310.80000000000001,243.69999999999999,83.400000000000006,44.600000000000001
1979,35.5,9.4000000000000004,3.8999999999999999,64.799999999999997,146.30000000000001,282.80000000000001,455.89999999999998,173.59999999999999,330.19999999999999,163.5,169.80000000000001,13.6
1980,5.5,0.80000000000000004,9.1999999999999993,38.799999999999997,728.39999999999998,604.20000000000005,575.70000000000005,494.39999999999998,271.89999999999998,252,143.69999999999999,500.69999999999999
1981,11.1,27.800000000000001,1.7,94.099999999999994,270.80000000000001,600.60000000000002,344.10000000000002,510.69999999999999,452.60000000000002,242.09999999999999,348.39999999999998,170.69999999999999
1982,8.8000000000000007,2.7999999999999998,6.5999999999999996,97.5,229.19999999999999,448.69999999999999,410.5,347.60000000000002,369,164.5,238.80000000000001,60.5
1983,22.100000000000001,0,3.1000000000000001,9.0999999999999996,240.80000000000001,424.30000000000001,468.89999999999998,493.80000000000001,505.5,275.80000000000001,261,88.099999999999994
1984,69.400000000000006,173.80000000000001,26.300000000000001,156.59999999999999,162.30000000000001,424.89999999999998,446.39999999999998,125.8,283.60000000000002,347.10000000000002,158.90000000000001,445.19999999999999
1985,12,19.199999999999999,24.100000000000001,55,278.10000000000002,588.39999999999998,230.90000000000001,375.19999999999999,362.5,358.89999999999998,232.09999999999999,94.400000000000006
1986,14.800000000000001,0.59999999999999998,1.5,8.1999999999999993,302.60000000000002,312.19999999999999,308.5,444,408.89999999999998,176.09999999999999,163.5,47
1987,72.400000000000006,35.200000000000003,20.399999999999999,17.699999999999999,162.90000000000001,343.69999999999999,45.299999999999997,666.5,378.89999999999998,373.39999999999998,313.39999999999998,334.10000000000002
1988,10.199999999999999,39.899999999999999,28,82.700000000000003,427.5,357.39999999999998,495.60000000000002,354.19999999999999,603.29999999999995,271.39999999999998,583,69.900000000000006
1989,56,12.800000000000001,68.099999999999994,42.600000000000001,379.30000000000001,414.89999999999998,380.10000000000002,413.19999999999999,215.90000000000001,291.80000000000001,255,4
1990,13.4,0.20000000000000001,24.600000000000001,87.5,424.60000000000002,291,213.19999999999999,293.30000000000001,310.39999999999998,133.59999999999999,291.10000000000002,100.3
1991,14.1,3.7999999999999998,28,132.90000000000001,191.30000000000001,165.69999999999999,547.20000000000005,486.5,489.89999999999998,287.60000000000002,130.09999999999999,58.5
1992,75.900000000000006,10.9,0,5.0999999999999996,241.69999999999999,392,348.19999999999999,372.30000000000001,323.69999999999999,257.30000000000001,64.299999999999997,7.2000000000000002
1993,14.9,0,129.90000000000001,43.700000000000003,181.40000000000001,257.10000000000002,391.69999999999999,226.69999999999999,437,299.30000000000001,189,66.700000000000003
1994,7.2000000000000002,35.5,129.40000000000001,154.59999999999999,403.19999999999999,386.30000000000001,569.70000000000005,460.5,775.10000000000002,137.5,180.30000000000001,23.800000000000001
1995,51.799999999999997,12.5,12.1,21.100000000000001,314.80000000000001,450.39999999999998,501.39999999999998,555.79999999999995,426.39999999999998,294.69999999999999,452.89999999999998,21.600000000000001
1996,52.200000000000003,4.7999999999999998,3.3999999999999999,122.7,298,559.20000000000005,335.5,328,541.60000000000002,318.5,254.19999999999999,178.80000000000001
1997,9.5,0,0.20000000000000001,15.6,281.10000000000002,199.5,918.5,430.60000000000002,440.19999999999999,128.69999999999999,292.80000000000001,38.399999999999999
1998,0.90000000000000002,0,0,0,348.89999999999998,600,364.5,258.89999999999998,337.80000000000001,618.60000000000002,227.80000000000001,89
1999,46.799999999999997,44.600000000000001,14.199999999999999,270.60000000000002,257.39999999999998,295,408.5,329.19999999999999,325.30000000000001,437.5,124.90000000000001,145.69999999999999
2000,53,59,171.30000000000001,218.09999999999999,422.80000000000001,357,176.30000000000001,460.80000000000001,250.09999999999999,321.19999999999999,158.30000000000001,115.2
2001,89,15.699999999999999,143.30000000000001,30.100000000000001,705.29999999999995,370.69999999999999,341.30000000000001,469,334.39999999999998,267.60000000000002,222.59999999999999,91.799999999999997
2002,10.6,0,11.5,100.2,366.69999999999999,358.30000000000001,317.39999999999998,429.80000000000001,420,169,306.69999999999999,129.90000000000001
2003,44.299999999999997,7.9000000000000004,149.19999999999999,19.399999999999999,296.30000000000001,159.90000000000001,494.89999999999998,379.39999999999998,371.89999999999998,310.39999999999998,74.099999999999994,48
2004,54.5,35.899999999999999,36.5,41.600000000000001,505.10000000000002,423.89999999999998,378.89999999999998,308.69999999999999,280.69999999999999,223.90000000000001,169.90000000000001,0.40000000000000002
2005,0,0,20.300000000000001,51.100000000000001,305.30000000000001,452.39999999999998,429.30000000000001,311.10000000000002,507.5,293.5,300.10000000000002,283.89999999999998
2006,16.300000000000001,14.4,48.899999999999999,163.69999999999999,321.39999999999998,366,182.69999999999999,219.59999999999999,546.5,374.69999999999999,76.099999999999994,74.400000000000006
2007,4.9000000000000004,1.6000000000000001,5,54.600000000000001,370,378.30000000000001,463.19999999999999,465.30000000000001,486.39999999999998,209.40000000000001,223.90000000000001,85.599999999999994
2008,9.9000000000000004,67.700000000000003,115.8,216.09999999999999,545.5,457.80000000000001,511.19999999999999,482.10000000000002,332,243.69999999999999,321.10000000000002,72
2009,24.5,6.2999999999999998,44.200000000000003,136.5,313.10000000000002,633.5,297.30000000000001,351.5,344.69999999999999,272.80000000000001,66.200000000000003,48
2010,101.7,8,0.69999999999999996,12.5,319,448.89999999999998,521.89999999999998,563.79999999999995,263.30000000000001,402.39999999999998,268.5,246.40000000000001
2011,265.89999999999998,84.799999999999997,272.80000000000001,111.40000000000001,326.5,383.19999999999999,583.20000000000005,441.5,757.10000000000002,212.30000000000001,150.80000000000001,238.5
2012,119.90000000000001,45.600000000000001,30.899999999999999,55.799999999999997,533.89999999999998,458.19999999999999,317.30000000000001,369.60000000000002,868.89999999999998,209.69999999999999,300.5,187.30000000000001
2013,67.099999999999994,37.600000000000001,43,46.299999999999997,509.30000000000001,777,564.79999999999995,336.69999999999999,473.60000000000002,455.80000000000001,354.19999999999999,92.299999999999997
2014,41.899999999999999,8.5999999999999996,0,11.1,238,416.60000000000002,467.60000000000002,321.60000000000002,412.89999999999998,402.60000000000002,201.19999999999999,100.40000000000001
2015,126.8,7.5999999999999996,3.1000000000000001,138.19999999999999,331.89999999999998,346.39999999999998,328.89999999999998,480,523.29999999999995,252.09999999999999,236.30000000000001,129.90000000000001
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
